#subject	order	variable	frenchUnity	englishUnity	frenchDescription	englishDescription
SafeCell	1	cropSpeciesName	-	-	Culture	aa-Species
SafeCell	1	cropType	-	-	Type de Culture	aa-Crop type
SafeCell	1	cropAge	d	d	Age de la culture	Crop age
SafeCell	1	cropTemperature	°C	°C	Température de culture	Crop Temperature
SafeCell	1	cropMaxTemperature	°C	°C	Température Max de culture	Crop Max Temperature
SafeCell	1	cropMinTemperature	°C	°C	Température Min de culture	Crop Min Temperature
SafeCell	1	soilSurfaceTemperature	°C	°C	soilSurfaceTemperature	soilSurfaceTemperature
SafeCell	1	soilManagementDepth	m	m	Profondeur travail du sol	soil Management Depth
SafeCell	1	phenologicStage	-	-	phenologicStage	phenologicStage
SafeCell	1	height	 m	 m	Hauteur culture	Crop height
SafeCell	1	biomass	 t.ha-1	 t.ha-1	Biomasse aerienne culture	Crop aerial biomass
SafeCell	1	grainBiomass	 t.ha-1	 t.ha-1	Biomasse grains culture	Crop grain biomass
SafeCell	1	grainNumber	 t.ha-1	 t.ha-1	grainNumber	grainNumber
SafeCell	1	grainWeight	 t.ha-1	 t.ha-1	grainWeight	grainWeight
SafeCell	1	yield	t.ha-1	t.ha-1	Rendement de la culture	Crop yield
SafeCell	1	lai	m2.m-2	m2.m-2	crop Lai	crop Lai
SafeCell	1	eai	m2.m-2	m2.m-2	Eai	Eai
SafeCell	1	sla	cm2.g-1	cm2.g-1	Sla	Sla
SafeCell	1	laiTree	m2.m-2	m2.m-2	Lai of tree	Lai of tree
SafeCell	1	rootDepth	m	m	Profondeur racine culture	Crop root depth
SafeCell	1	treeFineRootLength	m	m	Longueur racine fine arbre	Tree fine root length
SafeCell	1	treeCoarseRootBiomass	kg C	kg C	Biomasse racine structure arbre	Tree coarse root biomass
SafeCell	1	heightMax	 m	 m	Hauteur culture max	Crop height max
SafeCell	1	biomassMax	 t.ha-1	 t.ha-1	Biomasse culture max	Crop biomass max
SafeCell	1	yieldMax	t.ha-1	t.ha-1	Rendement de la culture max	Crop yield max
SafeCell	1	laiMax	m2.m-2	m2.m-2	Lai max	Lai max
SafeCell	1	eaiMax	m2.m-2	m2.m-2	Eai max	Eai max
SafeCell	1	rootDepthMax	m	m	Profondeur racine culture max	Crop root depth ma
SafeCell	1	waterDemand	litres	liters	Eau demandée par la culture	Crop water demand
SafeCell	1	waterUptake	litres	liters	Eau extraite par la culture	Crop water uptake
SafeCell	1	nitrogenDemand	kgN.ha-1	kgN.ha-1	Azote demandée par la culture	Crop nitrogen demand
SafeCell	1	nitrogenUptake	kgN.ha-1	kgN.ha-1	Azote extraite par la culture	Crop nitrogen uptake
SafeCell	1	hisafeWaterStress	-	-	Stress eau calculé par hisafe	Crop Water stress (hisafe)
SafeCell	1	hisafeNitrogenStress	-	-	Stress azote calculé par hisafe	Crop Nitrogen stress (hisafe)
SafeCell	1	sticsWaterStomatalStress	-	-	sticsWaterStomatalStress (swfac)	sticsWaterStomatalStress (swfac)
SafeCell	1	sticsWaterSenescenceStress	-	-	sticsWaterSenescenceStress (senfac)	sticsWaterSenescenceStress (senfac)
SafeCell	1	sticsWaterTurgescenceStress	-	-	sticsWaterTurgescenceStress (turfac)	sticsWaterTurgescenceStress (turfac)
SafeCell	1	nitrogenNutritionIndex	-	-	nitrogenNutritionIndex(inn)	nitrogenNutritionIndex(inn)
SafeCell	1	sticsNitrogenBiomassStress	-	-	sticsNitrogenBiomassStress (inns)	sticsNitrogenBiomassStress (inns)
SafeCell	1	sticsNitrogenLaiStress	-	-	sticsNitrogenLaiStress (innlai)	sticsNitrogenLaiStress (innlai)
SafeCell	1	sticsNitrogenSenescenceStress	-	-	sticsNitrogenSenescenceStress (innsenes)	sticsNitrogenSenescenceStress (innsenes)
SafeCell	1	diffuseParIncident	Moles m-2	Mol. m-2	Rayonnement PAR diffus incident	Radiation daily diffuse incident PAR
SafeCell	1	directParIncident	Moles m-2	Mol. m-2	Rayonnement PAR direct incident	Radiation daily direct incident PAR
SafeCell	1	diffuseParIntercepted	Moles m-2	Mol. m-2	Rayonnement PAR diffus intercepté	Radiation daily diffuse intercepted PAR
SafeCell	1	directParIntercepted	Moles m-2	Mol. m-2	Rayonnement PAR direct intercepté	Radiation daily direct intercepted PAR
SafeCell	1	relativeDiffuseParIncident	%	%	Proportion de PAR diffus incident	Proportion of diffuse PAR incident
SafeCell	1	relativeDirectParIncident	%	%	Proportion de PAR direct incident	Proportion of direct PAR incident
SafeCell	1	relativeGlobalRadIncident	%	%	Proportion de rayonnement global incident (PAR + NIR)	Proportion of global radiation incident (PAR + NIR)
SafeCell	1	relativeTotalParIncident	%	%	Proportion de PAR incident (diffus + direct)	Proportion of PAR incident (diffuse + direct
SafeCell	1	visibleSky	%	%	Proportion de ciel visible	Proportion of visible sky
