
SimulationName	Date	Day	Month	Year	JulianDay	idCell	x	y	cropSpeciesName	cropType	cropAge	phenologicStage	yield	biomass	grainBiomass	height	rootDepth	treeFineRootLength	treeCoarseRootBiomass	waterDemand	waterUptake	hisafeWaterStress	nitrogenDemand	nitrogenUptake	hisafeNitrogenStress	actualWaterPotential	waterUptakePotential	eai	lai	sla	laiTree	etpCalculated	cropTemperature	soilSurfaceTemperature	relativeDiffuseParIncident	relativeDirectParIncident	relativeGlobalRadIncident	relativeTotalParIncident	visibleSky	diffuseParIncident	diffuseParIntercepted	directParIncident	directParIntercepted	soilEvaporation	rainInterceptedByTrees	rainInterceptedByCrop	rainTransmittedByTrees	rainTransmittedByCrop	stemFlowByTrees	stemFlowByCrop	capillaryRise	drainageBottom	drainageArtificial	surfaceRunOff	runOff	nitrogenFertilisationMineral	nitrogenFertilisationOrganic	nitrogenRain	nitrogenIrrigation	nitrogenRunOff	nitrogenResiduMineralisation	nitrogenVolatilisation	nitrogenNutritionIndex	carbonResidus	nitrogenResidus	activeNitrogenHumusStock	activeCarbonHumusStock	inactiveNitrogenHumusStock	inactiveCarbonHumusStock	totalNitrogenHumusStock	totalCarbonHumusStock	mineralNitrogenStock	nitrogenVolatilisationOrganic	nitrogenDenitrification	nitrogenFixation	nitrogenHumusMineralisation	nitrogenLeachingBottom	nitrogenLeachingWaterTable	cropCarbonLeafLitter	cropCarbonRootLitter	cropNitrogenLeafLitter	cropNitrogenRootLitter	treeCarbonLeafLitter	treeNitrogenLeafLitter	treeCarbonFineRootLitter	treeNitrogenFineRootLitter	treeCarbonCoarseRootLitter	treeNitrogenCoarseRootLitter	treeCarbonFineRootDeepLitter	treeNitrogenFineRootDeepLitter	treeCarbonCoarseRootDeepLitter	treeNitrogenCoarseRootDeepLitter	sticsNitrogenBiomassStress	sticsNitrogenLaiStress	sticsNitrogenSenescenceStress	sticsWaterSenescenceStress	sticsWaterStomatalStress	sticsWaterTurgescenceStress	waterUptakeInSaturationByTrees	nitrogenUptakeInSaturationByTrees	waterAddedByWaterTable	waterTakenByDesaturation	tempStressLue	tempStressGrainFilling	frostStressPlantDensity	frostStressFoliage	frostStressReprod	tetstomate	teturg	carbonMulch	carbonMulchTreeFoliage	mulchBiomass	mulchEvaporation	mulchCoverRatio
exemple	1/1/1997	1	1	1997	1	1	0.00000e+00	4.00000e+00	maize	mainCrop	0	0	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	2.50000e+02	0.00000e+00	2.80562e-01	-6.90195e-01	-6.90195e-01	9.99939e-01	9.98674e-01	9.99968e-01	9.99936e-01	9.99894e-01	3.95154e+00	0.00000e+00	7.65404e-03	0.00000e+00	2.80500e-01	0.00000e+00	0.00000e+00	1.40000e+01	1.40000e+01	0.00000e+00	0.00000e+00	0.00000e+00	5.12742e+03	0.00000e+00	1.80000e+00	1.80000e+00	0.00000e+00	0.00000e+00	2.80000e-01	0.00000e+00	3.60000e-02	0.00000e+00	0.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	2.56620e+03	2.44400e+04	4.76580e+03	4.53886e+04	7.33200e+03	6.98286e+04	5.12798e+01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00
exemple	1/1/1997	1	1	1997	1	2	1.00000e+00	4.00000e+00	maize	mainCrop	0	0	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	2.50000e+02	0.00000e+00	2.80563e-01	-6.90195e-01	-6.90195e-01	9.99943e-01	9.99474e-01	9.99971e-01	9.99942e-01	9.99906e-01	3.95156e+00	0.00000e+00	7.66017e-03	0.00000e+00	2.80500e-01	0.00000e+00	0.00000e+00	1.40000e+01	1.40000e+01	0.00000e+00	0.00000e+00	0.00000e+00	5.12742e+03	0.00000e+00	1.80000e+00	1.80000e+00	0.00000e+00	0.00000e+00	2.80000e-01	0.00000e+00	3.60000e-02	0.00000e+00	0.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	2.56620e+03	2.44400e+04	4.76580e+03	4.53886e+04	7.33200e+03	6.98286e+04	5.12798e+01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00
exemple	1/1/1997	1	1	1997	1	3	2.00000e+00	4.00000e+00	maize	mainCrop	0	0	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	2.50000e+02	0.00000e+00	2.80550e-01	-6.90195e-01	-6.90195e-01	9.99845e-01	9.99875e-01	9.99925e-01	9.99845e-01	9.99779e-01	3.95117e+00	0.00000e+00	7.66325e-03	0.00000e+00	2.80500e-01	0.00000e+00	0.00000e+00	1.40000e+01	1.40000e+01	0.00000e+00	0.00000e+00	0.00000e+00	5.12742e+03	0.00000e+00	1.80000e+00	1.80000e+00	0.00000e+00	0.00000e+00	2.80000e-01	0.00000e+00	3.60000e-02	0.00000e+00	0.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	2.56620e+03	2.44400e+04	4.76580e+03	4.53886e+04	7.33200e+03	6.98286e+04	5.12798e+01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00
exemple	1/1/1997	1	1	1997	1	4	3.00000e+00	4.00000e+00	baresoil	interCrop	0	0	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	3.50000e+02	0.00000e+00	2.80547e-01	-6.90195e-01	-6.90195e-01	9.99825e-01	9.99978e-01	9.99915e-01	9.99825e-01	9.99766e-01	3.95109e+00	0.00000e+00	7.66403e-03	0.00000e+00	2.80500e-01	0.00000e+00	0.00000e+00	1.40000e+01	1.40000e+01	0.00000e+00	0.00000e+00	0.00000e+00	5.12742e+03	0.00000e+00	1.80000e+00	1.80000e+00	0.00000e+00	0.00000e+00	2.80000e-01	0.00000e+00	3.60000e-02	0.00000e+00	0.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	2.56620e+03	2.44400e+04	4.76580e+03	4.53886e+04	7.33200e+03	6.98286e+04	5.12798e+01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00
exemple	1/1/1997	1	1	1997	1	5	4.00000e+00	4.00000e+00	maize	mainCrop	0	0	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	2.50000e+02	0.00000e+00	2.80550e-01	-6.90195e-01	-6.90195e-01	9.99845e-01	1.00000e+00	9.99925e-01	9.99846e-01	9.99779e-01	3.95117e+00	0.00000e+00	7.66420e-03	0.00000e+00	2.80500e-01	0.00000e+00	0.00000e+00	1.40000e+01	1.40000e+01	0.00000e+00	0.00000e+00	0.00000e+00	5.12742e+03	0.00000e+00	1.80000e+00	1.80000e+00	0.00000e+00	0.00000e+00	2.80000e-01	0.00000e+00	3.60000e-02	0.00000e+00	0.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	2.56620e+03	2.44400e+04	4.76580e+03	4.53886e+04	7.33200e+03	6.98286e+04	5.12798e+01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00
exemple	1/1/1997	1	1	1997	1	6	5.00000e+00	4.00000e+00	maize	mainCrop	0	0	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	2.50000e+02	0.00000e+00	2.80563e-01	-6.90195e-01	-6.90195e-01	9.99943e-01	9.99868e-01	9.99971e-01	9.99943e-01	9.99906e-01	3.95156e+00	0.00000e+00	7.66319e-03	0.00000e+00	2.80500e-01	0.00000e+00	0.00000e+00	1.40000e+01	1.40000e+01	0.00000e+00	0.00000e+00	0.00000e+00	5.12742e+03	0.00000e+00	1.80000e+00	1.80000e+00	0.00000e+00	0.00000e+00	2.80000e-01	0.00000e+00	3.60000e-02	0.00000e+00	0.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	2.56620e+03	2.44400e+04	4.76580e+03	4.53886e+04	7.33200e+03	6.98286e+04	5.12798e+01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00
exemple	1/1/1997	1	1	1997	1	7	6.00000e+00	4.00000e+00	maize	mainCrop	0	0	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	2.50000e+02	0.00000e+00	2.80562e-01	-6.90195e-01	-6.90195e-01	9.99939e-01	9.99546e-01	9.99969e-01	9.99938e-01	9.99894e-01	3.95154e+00	0.00000e+00	7.66072e-03	0.00000e+00	2.80500e-01	0.00000e+00	0.00000e+00	1.40000e+01	1.40000e+01	0.00000e+00	0.00000e+00	0.00000e+00	5.12742e+03	0.00000e+00	1.80000e+00	1.80000e+00	0.00000e+00	0.00000e+00	2.80000e-01	0.00000e+00	3.60000e-02	0.00000e+00	0.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	2.56620e+03	2.44400e+04	4.76580e+03	4.53886e+04	7.33200e+03	6.98286e+04	5.12798e+01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00
exemple	1/1/1997	1	1	1997	1	8	0.00000e+00	3.00000e+00	maize	mainCrop	0	0	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	2.50000e+02	0.00000e+00	2.80562e-01	-6.90195e-01	-6.90195e-01	9.99934e-01	9.99461e-01	9.99967e-01	9.99933e-01	9.99886e-01	3.95152e+00	0.00000e+00	7.66007e-03	0.00000e+00	2.80500e-01	0.00000e+00	0.00000e+00	1.40000e+01	1.40000e+01	0.00000e+00	0.00000e+00	0.00000e+00	5.12742e+03	0.00000e+00	1.80000e+00	1.80000e+00	0.00000e+00	0.00000e+00	2.80000e-01	0.00000e+00	3.60000e-02	0.00000e+00	0.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	2.56620e+03	2.44400e+04	4.76580e+03	4.53886e+04	7.33200e+03	6.98286e+04	5.12798e+01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00
exemple	1/1/1997	1	1	1997	1	9	1.00000e+00	3.00000e+00	maize	mainCrop	0	0	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	2.50000e+02	0.00000e+00	2.80544e-01	-6.90195e-01	-6.90195e-01	9.99807e-01	9.98713e-01	9.99905e-01	9.99805e-01	9.99713e-01	3.95102e+00	0.00000e+00	7.65434e-03	0.00000e+00	2.80500e-01	0.00000e+00	0.00000e+00	1.40000e+01	1.40000e+01	0.00000e+00	0.00000e+00	0.00000e+00	5.12742e+03	0.00000e+00	1.80000e+00	1.80000e+00	0.00000e+00	0.00000e+00	2.80000e-01	0.00000e+00	3.60000e-02	0.00000e+00	0.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	2.56620e+03	2.44400e+04	4.76580e+03	4.53886e+04	7.33200e+03	6.98286e+04	5.12798e+01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00
exemple	1/1/1997	1	1	1997	1	10	2.00000e+00	3.00000e+00	maize	mainCrop	0	0	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	2.50000e+02	0.00000e+00	2.80506e-01	-6.90195e-01	-6.90195e-01	9.99523e-01	9.99699e-01	9.99770e-01	9.99523e-01	9.99417e-01	3.94990e+00	0.00000e+00	7.66190e-03	0.00000e+00	2.80500e-01	0.00000e+00	0.00000e+00	1.40000e+01	1.40000e+01	0.00000e+00	0.00000e+00	0.00000e+00	5.12742e+03	0.00000e+00	1.80000e+00	1.80000e+00	0.00000e+00	0.00000e+00	2.80000e-01	0.00000e+00	3.60000e-02	0.00000e+00	0.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	2.56620e+03	2.44400e+04	4.76580e+03	4.53886e+04	7.33200e+03	6.98286e+04	5.12798e+01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00
