
SimulationName	Date	Day	Month	Year	JulianDay	mainCropName	mainCropArea	interCropName	interCropArea	precipitation	mainCropMeanBiomass	mainCropMeanHeight	mainCropMeanYield	mainCropSceneYield	mainCropMeanLai	mainCropMeanEai	interCropMeanBiomass	interCropMeanHeight	interCropMeanYield	interCropSceneYield	interCropMeanLai	interCropMeanEai	biomassRestitution	mainCropNitrogenBiomassStress	mainCropNitrogenDemand	mainCropNitrogenLaiStress	mainCropNitrogenSenescenceStress	mainCropNitrogenStress	mainCropPhenologicStage	mainCropPlantDensity	mainCropRootDepth	mainCropSla	mainCropTemperature	mainCropTotalRootLength	mainCropGrainNumber	mainCropGrainWeight	mainCropWaterDemand	mainCropWaterDemandReduced	mainCropWaterPotential	mainCropWaterStress	mainCropTurgescenceWaterStress	mainCropSenescenceWaterStress	drainageBottom	drainageArtificial	maximalWaterStock	mineralNitrogenStock	nitrateStock	nitrogenStockCommonTreeMainCrop	nitrogenStockAvailableForMainCrop	nitrogenStockAvailableForInterCrop	nitrogenUptakeByMainCrop	nitrogenUptakeByInterCrop	nitrogenUptakeByTrees	nitrogenUptakeInSaturationByMainCrop	nitrogenUptakeInSaturationByInterCrop	nitrogenUptakeInSaturationByTrees	irrigationInMainCrop	irrigationInInterCrop	nitrogenIrrigationInMainCrop	nitrogenIrrigationInInterCrop	nitrogenRainInMainCrop	nitrogenRainInInterCrop	nitrogenRunOffInMainCrop	nitrogenVolatilisationOrganic	nitrogenDenitrification	nitrogenFixation	nitrogenHumusMineralisation	nitrogenLeachingBottom	nitrogenLeachingWaterTable	nitrogenResiduMineralisation	nitrogenVolatilisation	parIncident	parIncidentMainCrop	parIncidentInterCrop	parInterceptedByMainCrop	parInterceptedByInterCrop	parInterceptedByMainCropCompetFree	parInterceptedByInterCropCompetFree	parInterceptedByTrees	parInterceptedByTreesCompetFree	mainCropQngrain	mainCropQnplante	runOff	surfaceRunOff	waterUptakeByMainCrop	waterUptakeByInterCrop	waterUptakeByTrees	waterUptakeInSaturationByMainCrop	waterUptakeInSaturationByInterCrop	waterUptakeInSaturationByTrees	waterStock	waterStockCommonTreeMainCrop	waterStockAvailableForMainCrop	waterStockAvailableForInterCrop	waterStockAvailableForTrees	waterStockInSaturation	waterTableDepth	waterToDesaturation	interceptedRainByMainCrop	interceptedRainByInterCrop	interceptedRainByTrees	activeNitrogenHumusStock	activeCarbonHumusStock	inactiveNitrogenHumusStock	inactiveCarbonHumusStock	totalNitrogenHumusStock	totalCarbonHumusStock	totalCarbonResidus	totalNitrogenResidus	totalTreeCarbonLeafLitter	totalTreeNitrogenLeafLitter	totalTreeCarbonFineRootLitter	totalTreeNitrogenFineRootLitter	totalTreeCarbonCoarseRootLitter	totalTreeNitrogenCoarseRootLitter	totalTreeCarbonFineRootDeepLitter	totalTreeNitrogenFineRootDeepLitter	totalTreeCarbonCoarseRootDeepLitter	totalTreeNitrogenCoarseRootDeepLitter	mainCropTempStressLue	mainCropTempStressGrainFilling	mainCropFrostStressPlantDensity	mainCropFrostStressFoliage	mainCropFrostStressReprod	interCropTempStressLue	interCropTempStressGrainFilling	interCropFrostStressPlantDensity	interCropFrostStressFoliage	interCropFrostStressReprod
exemple	1/1/1997	1	1	1997	1	maize	3.00000e+01	baresoil	5.00000e+00	1.40000e+01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	-6.90195e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	5.12742e+03	0.00000e+00	9.52042e+02	1.79479e+03	5.12798e+01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	2.80000e-01	2.80000e-01	3.60000e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	3.95945e+00	3.95857e+00	3.95532e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.80000e+00	1.80000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	2.55784e+03	0.00000e+00	0.00000e+00	0.00000e+00	2.06622e+00	0.00000e+00	-8.90000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	2.56620e+03	2.44400e+04	4.76580e+03	4.53886e+04	7.33200e+03	6.98286e+04	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00
exemple	2/1/1997	2	1	1997	2	maize	3.00000e+01	baresoil	5.00000e+00	3.14000e+01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	2.40562e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	9.52042e+02	1.81675e+03	5.19073e+01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	6.28000e-01	6.28000e-01	1.05600e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.52627e+00	1.52592e+00	1.52469e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	5.28000e+00	5.28000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	2.58347e+03	0.00000e+00	0.00000e+00	0.00000e+00	2.55468e+00	0.00000e+00	-7.30000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	2.56620e+03	2.44400e+04	4.76580e+03	4.53886e+04	7.33200e+03	6.98286e+04	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00
exemple	3/1/1997	3	1	1997	3	maize	3.00000e+01	baresoil	5.00000e+00	1.46000e+01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	5.94703e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	9.52042e+02	1.82847e+03	5.22421e+01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	2.92000e-01	2.92000e-01	3.84000e-02	0.00000e+00	0.00000e+00	0.00000e+00	4.31622e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	2.63226e+00	2.63166e+00	2.62954e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.92000e+00	1.92000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	2.59568e+03	0.00000e+00	0.00000e+00	0.00000e+00	2.55468e+00	0.00000e+00	-4.00000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	2.56616e+03	2.44396e+04	4.76580e+03	4.53886e+04	7.33196e+03	6.98282e+04	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00
exemple	4/1/1997	4	1	1997	4	maize	3.00000e+01	baresoil	5.00000e+00	7.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	2.38479e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	7.46106e-01	0.00000e+00	9.52042e+02	1.83655e+03	5.24729e+01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.40000e-01	1.40000e-01	8.00000e-03	0.00000e+00	0.00000e+00	0.00000e+00	9.09862e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	4.84424e+00	4.84303e+00	4.83940e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	4.00000e-01	4.00000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	2.60094e+03	0.00000e+00	0.00000e+00	0.00000e+00	2.55468e+00	0.00000e+00	-2.70000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	2.56607e+03	2.44387e+04	4.76580e+03	4.53886e+04	7.33187e+03	6.98273e+04	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00
exemple	5/1/1997	5	1	1997	5	maize	3.00000e+01	baresoil	5.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	3.48173e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	9.52042e+02	1.83989e+03	5.25684e+01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	9.57163e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.19226e+01	1.19169e+01	1.19150e+01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	2.60056e+03	0.00000e+00	0.00000e+00	0.00000e+00	2.54395e+00	0.00000e+00	-2.50000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	2.56597e+03	2.44378e+04	4.76580e+03	4.53886e+04	7.33177e+03	6.98264e+04	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00
exemple	6/1/1997	6	1	1997	6	maize	3.00000e+01	baresoil	5.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	3.17974e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	9.52042e+02	1.84344e+03	5.26696e+01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.01321e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.08166e+01	1.08118e+01	1.08091e+01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	2.60029e+03	0.00000e+00	0.00000e+00	0.00000e+00	2.53615e+00	0.00000e+00	-4.30000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	2.56587e+03	2.44368e+04	4.76580e+03	4.53886e+04	7.33167e+03	6.98254e+04	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00
exemple	7/1/1997	7	1	1997	7	maize	3.00000e+01	baresoil	5.00000e+00	6.00000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	4.01550e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	9.52042e+02	1.84745e+03	5.27842e+01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.20000e-02	1.20000e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.02774e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.47982e+01	1.47897e+01	1.47908e+01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	2.60071e+03	0.00000e+00	0.00000e+00	0.00000e+00	2.54812e+00	0.00000e+00	-5.90000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	2.56577e+03	2.44359e+04	4.76580e+03	4.53886e+04	7.33157e+03	6.98244e+04	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00
exemple	8/1/1997	8	1	1997	8	maize	3.00000e+01	baresoil	5.00000e+00	9.76000e+01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	2.70307e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	7.82129e+01	0.00000e+00	9.52042e+02	1.91949e+03	5.48425e+01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.95200e+00	1.95200e+00	3.70400e-01	0.00000e+00	0.00000e+00	0.00000e+00	1.08038e-01	5.32557e-10	0.00000e+00	0.00000e+00	0.00000e+00	1.08387e+00	1.08362e+00	1.08275e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.85200e+01	1.85200e+01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	2.60094e+03	0.00000e+00	0.00000e+00	0.00000e+00	2.55468e+00	0.00000e+00	-7.00000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	2.56566e+03	2.44348e+04	4.76580e+03	4.53886e+04	7.33146e+03	6.98234e+04	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00
exemple	9/1/1997	9	1	1997	9	maize	3.00000e+01	baresoil	5.00000e+00	4.40000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	5.49489e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	4.03235e+00	0.00000e+00	9.52042e+02	1.92626e+03	5.50360e+01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	8.80000e-02	8.80000e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.05765e-01	2.89489e-11	0.00000e+00	0.00000e+00	0.00000e+00	3.07465e+00	3.07395e+00	3.07148e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	2.60094e+03	0.00000e+00	0.00000e+00	0.00000e+00	2.55468e+00	0.00000e+00	-1.00000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	2.56555e+03	2.44338e+04	4.76580e+03	4.53886e+04	7.33135e+03	6.98224e+04	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00
exemple	10/1/1997	10	1	1997	10	maize	3.00000e+01	baresoil	5.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	6.92723e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	9.52042e+02	1.93039e+03	5.51541e+01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.18239e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.56830e+01	1.56738e+01	1.56756e+01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	2.60041e+03	0.00000e+00	0.00000e+00	0.00000e+00	2.53972e+00	0.00000e+00	-1.00000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	2.56543e+03	2.44327e+04	4.76580e+03	4.53886e+04	7.33123e+03	6.98213e+04	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	1.00000e+00	1.00000e+00
