
SimulationName	Date	Day	Month	Year	JulianDay	idTree	age	dbh	height	rootingDepth	rootedVolume	rootedVolumePerLayer_1	rootedVolumePerLayer_2	rootedVolumePerLayer_3	rootedVolumePerLayer_4	rootedVolumePerLayer_5	waterStress	lightCompetitionIndex	nitrogenStress	phenologicalStage	leafArea	lai	nbCellsBellow	laiAboveCells	targetLfrRatio	lfrRatio	diffuseParIntercepted	directParIntercepted	globalRadIntercepted	waterDemand	waterDemandReduced	waterUptake	waterUptakeInSaturation	waterUptakePotential	actualWaterPotential	carbonAllocToGrowth	carbonIncrement	carbonStem	carbonStump	carbonBranches	carbonCoarseRoots	carbonFineRoots	carbonFoliage	carbonLabile	nitrogenStem	nitrogenStump	nitrogenBranches	nitrogenCoarseRoots	nitrogenFineRoots	nitrogenFoliage	nitrogenLabile	carbonStemExported	carbonBranchesExported	carbonFoliageExported	carbonFineRootsIncrement	carbonFineRootSen	carbonCoarseRootSen	aboveGroundCFraction	carbonAboveGroundEff	carbonBelowGroundEff	nitrogenDemand	nCStem	nCStump	nCBranches	nCCoarseRoots	nCFineRoots	nCFoliage	nCLabile	nitrogenUptake	nitrogenUptakeInSaturation	nitrogenCoarseRootSen	nitrogenFineRootSen	nitrogenStemExported	nitrogenBranchesExported	nitrogenFoliageExported	nitrogenSatisfaction	nitrogenSaturation	totalOptiN	stemVolume	stemYield	crownVolume	crownBaseHeight	crownRadiusInterRow	crownRadiusTreeLine	crownRadiusVertical	totalRootLength	maxRootDistanceOnTreeLine	maxRootDistanceOnCropLine	captureFactorForDiffusePar	captureFactorForDirectPar	captureFactorForDirectNir	captureFactorForDiffuseNir	carbonCoarseRootsIncrement	carbonFoliageSen	nitrogenFoliageSen	rootShootRatio	evaporatedRain	interceptedRain	nitrogenSinkStrength	stemflow	storedRain	lueStressEffect	rsStressEffect
exemple	1/1/1997	1	1	1997	1	1	1	8.52341e-01	1.00000e+00	6.00000e-01	6.00000e-01	0.2	0.4	0.0	0.0	0.0	1.00000e+00	1.00000e+00	1.00000e+00	0	0.00000e+00	0.00000e+00	1.00000e+00	0.00000e+00	5.00000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	2.02714e-02	4.05428e-03	4.83805e-02	9.56880e-02	1.21329e-01	0.00000e+00	1.68394e-02	2.02714e-04	4.05428e-05	4.83805e-04	9.56880e-04	3.63988e-03	0.00000e+00	1.06476e-03	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	4.07686e-01	0.00000e+00	5.59077e-01	0.00000e+00	1.00000e-02	1.00000e-02	1.00000e-02	1.00000e-02	3.00000e-02	0.00000e+00	6.32305e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	0.00000e+00	5.32382e-03	6.58163e-05	4.05428e-02	2.61799e-01	5.00000e-01	5.00000e-01	5.00000e-01	2.50000e-01	7.52242e+03	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	3.22018e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	1.00000e+00
exemple	2/1/1997	2	1	1997	2	1	2	8.52341e-01	1.00000e+00	6.00000e-01	6.00000e-01	0.2	0.4	0.0	0.0	0.0	1.00000e+00	1.00000e+00	1.00000e+00	0	0.00000e+00	0.00000e+00	1.00000e+00	0.00000e+00	5.00000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	2.02714e-02	4.05428e-03	4.83805e-02	9.56880e-02	1.21329e-01	0.00000e+00	1.68394e-02	2.02714e-04	4.05428e-05	4.83805e-04	9.56880e-04	3.63988e-03	0.00000e+00	1.06476e-03	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	4.07686e-01	0.00000e+00	5.59077e-01	0.00000e+00	1.00000e-02	1.00000e-02	1.00000e-02	1.00000e-02	3.00000e-02	0.00000e+00	6.32305e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	0.00000e+00	5.32382e-03	6.58163e-05	4.05428e-02	2.61799e-01	5.00000e-01	5.00000e-01	5.00000e-01	2.50000e-01	7.52242e+03	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	3.22018e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	1.00000e+00
exemple	3/1/1997	3	1	1997	3	1	3	8.52341e-01	1.00000e+00	6.00000e-01	6.00000e-01	0.2	0.4	0.0	0.0	0.0	1.00000e+00	1.00000e+00	1.00000e+00	0	0.00000e+00	0.00000e+00	1.00000e+00	0.00000e+00	5.00000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	2.02714e-02	4.05428e-03	4.83805e-02	9.56880e-02	1.21329e-01	0.00000e+00	1.68394e-02	2.02714e-04	4.05428e-05	4.83805e-04	9.56880e-04	3.63988e-03	0.00000e+00	1.06476e-03	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	4.07686e-01	0.00000e+00	5.59077e-01	0.00000e+00	1.00000e-02	1.00000e-02	1.00000e-02	1.00000e-02	3.00000e-02	0.00000e+00	6.32305e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	0.00000e+00	5.32382e-03	6.58163e-05	4.05428e-02	2.61799e-01	5.00000e-01	5.00000e-01	5.00000e-01	2.50000e-01	7.52242e+03	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	3.22018e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	1.00000e+00
exemple	4/1/1997	4	1	1997	4	1	4	8.52341e-01	1.00000e+00	6.00000e-01	6.00000e-01	0.2	0.4	0.0	0.0	0.0	1.00000e+00	1.00000e+00	1.00000e+00	0	0.00000e+00	0.00000e+00	1.00000e+00	0.00000e+00	5.00000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	2.02714e-02	4.05428e-03	4.83805e-02	9.56880e-02	1.21329e-01	0.00000e+00	1.68394e-02	2.02714e-04	4.05428e-05	4.83805e-04	9.56880e-04	3.63988e-03	0.00000e+00	1.06476e-03	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	4.07686e-01	0.00000e+00	5.59077e-01	0.00000e+00	1.00000e-02	1.00000e-02	1.00000e-02	1.00000e-02	3.00000e-02	0.00000e+00	6.32305e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	0.00000e+00	5.32382e-03	6.58163e-05	4.05428e-02	2.61799e-01	5.00000e-01	5.00000e-01	5.00000e-01	2.50000e-01	7.52242e+03	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	3.22018e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	1.00000e+00
exemple	5/1/1997	5	1	1997	5	1	5	8.52341e-01	1.00000e+00	6.00000e-01	6.00000e-01	0.2	0.4	0.0	0.0	0.0	1.00000e+00	1.00000e+00	1.00000e+00	0	0.00000e+00	0.00000e+00	1.00000e+00	0.00000e+00	5.00000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	2.02714e-02	4.05428e-03	4.83805e-02	9.56880e-02	1.21329e-01	0.00000e+00	1.68394e-02	2.02714e-04	4.05428e-05	4.83805e-04	9.56880e-04	3.63988e-03	0.00000e+00	1.06476e-03	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	4.07686e-01	0.00000e+00	5.59077e-01	0.00000e+00	1.00000e-02	1.00000e-02	1.00000e-02	1.00000e-02	3.00000e-02	0.00000e+00	6.32305e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	0.00000e+00	5.32382e-03	6.58163e-05	4.05428e-02	2.61799e-01	5.00000e-01	5.00000e-01	5.00000e-01	2.50000e-01	7.52242e+03	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	3.22018e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	1.00000e+00
exemple	6/1/1997	6	1	1997	6	1	6	8.52341e-01	1.00000e+00	6.00000e-01	6.00000e-01	0.2	0.4	0.0	0.0	0.0	1.00000e+00	1.00000e+00	1.00000e+00	0	0.00000e+00	0.00000e+00	1.00000e+00	0.00000e+00	5.00000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	2.02714e-02	4.05428e-03	4.83805e-02	9.56880e-02	1.21329e-01	0.00000e+00	1.68394e-02	2.02714e-04	4.05428e-05	4.83805e-04	9.56880e-04	3.63988e-03	0.00000e+00	1.06476e-03	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	4.07686e-01	0.00000e+00	5.59077e-01	0.00000e+00	1.00000e-02	1.00000e-02	1.00000e-02	1.00000e-02	3.00000e-02	0.00000e+00	6.32305e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	0.00000e+00	5.32382e-03	6.58163e-05	4.05428e-02	2.61799e-01	5.00000e-01	5.00000e-01	5.00000e-01	2.50000e-01	7.52242e+03	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	3.22018e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	1.00000e+00
exemple	7/1/1997	7	1	1997	7	1	7	8.52341e-01	1.00000e+00	6.00000e-01	6.00000e-01	0.2	0.4	0.0	0.0	0.0	1.00000e+00	1.00000e+00	1.00000e+00	0	0.00000e+00	0.00000e+00	1.00000e+00	0.00000e+00	5.00000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	2.02714e-02	4.05428e-03	4.83805e-02	9.56880e-02	1.21329e-01	0.00000e+00	1.68394e-02	2.02714e-04	4.05428e-05	4.83805e-04	9.56880e-04	3.63988e-03	0.00000e+00	1.06476e-03	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	4.07686e-01	0.00000e+00	5.59077e-01	0.00000e+00	1.00000e-02	1.00000e-02	1.00000e-02	1.00000e-02	3.00000e-02	0.00000e+00	6.32305e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	0.00000e+00	5.32382e-03	6.58163e-05	4.05428e-02	2.61799e-01	5.00000e-01	5.00000e-01	5.00000e-01	2.50000e-01	7.52242e+03	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	3.22018e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	1.00000e+00
exemple	8/1/1997	8	1	1997	8	1	8	8.52341e-01	1.00000e+00	6.00000e-01	6.00000e-01	0.2	0.4	0.0	0.0	0.0	1.00000e+00	1.00000e+00	1.00000e+00	0	0.00000e+00	0.00000e+00	1.00000e+00	0.00000e+00	5.00000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	2.02714e-02	4.05428e-03	4.83805e-02	9.56880e-02	1.21329e-01	0.00000e+00	1.68394e-02	2.02714e-04	4.05428e-05	4.83805e-04	9.56880e-04	3.63988e-03	0.00000e+00	1.06476e-03	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	4.07686e-01	0.00000e+00	5.59077e-01	0.00000e+00	1.00000e-02	1.00000e-02	1.00000e-02	1.00000e-02	3.00000e-02	0.00000e+00	6.32305e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	0.00000e+00	5.32382e-03	6.58163e-05	4.05428e-02	2.61799e-01	5.00000e-01	5.00000e-01	5.00000e-01	2.50000e-01	7.52242e+03	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	3.22018e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	1.00000e+00
exemple	9/1/1997	9	1	1997	9	1	9	8.52341e-01	1.00000e+00	6.00000e-01	6.00000e-01	0.2	0.4	0.0	0.0	0.0	1.00000e+00	1.00000e+00	1.00000e+00	0	0.00000e+00	0.00000e+00	1.00000e+00	0.00000e+00	5.00000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	2.02714e-02	4.05428e-03	4.83805e-02	9.56880e-02	1.21329e-01	0.00000e+00	1.68394e-02	2.02714e-04	4.05428e-05	4.83805e-04	9.56880e-04	3.63988e-03	0.00000e+00	1.06476e-03	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	4.07686e-01	0.00000e+00	5.59077e-01	0.00000e+00	1.00000e-02	1.00000e-02	1.00000e-02	1.00000e-02	3.00000e-02	0.00000e+00	6.32305e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	0.00000e+00	5.32382e-03	6.58163e-05	4.05428e-02	2.61799e-01	5.00000e-01	5.00000e-01	5.00000e-01	2.50000e-01	7.52242e+03	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	3.22018e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	1.00000e+00
exemple	10/1/1997	10	1	1997	10	1	10	8.52341e-01	1.00000e+00	6.00000e-01	6.00000e-01	0.2	0.4	0.0	0.0	0.0	1.00000e+00	1.00000e+00	1.00000e+00	0	0.00000e+00	0.00000e+00	1.00000e+00	0.00000e+00	5.00000e-01	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	2.02714e-02	4.05428e-03	4.83805e-02	9.56880e-02	1.21329e-01	0.00000e+00	1.68394e-02	2.02714e-04	4.05428e-05	4.83805e-04	9.56880e-04	3.63988e-03	0.00000e+00	1.06476e-03	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	4.07686e-01	0.00000e+00	5.59077e-01	0.00000e+00	1.00000e-02	1.00000e-02	1.00000e-02	1.00000e-02	3.00000e-02	0.00000e+00	6.32305e-02	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	0.00000e+00	5.32382e-03	6.58163e-05	4.05428e-02	2.61799e-01	5.00000e-01	5.00000e-01	5.00000e-01	2.50000e-01	7.52242e+03	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	3.22018e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	1.00000e+00	1.00000e+00
